,sum_sq,df,F,PR(>F)
DES,234.7390117800606,1.0,5964.330607842178,1.6059217366646912e-11
Power,1.1527377544996825e-05,1.0,0.00029289162546273134,0.9868231885838892
Time,0.060173631141700414,1.0,1.5289125879924772,0.256150448798659
DES:Power,0.040000000004261814,1.0,1.016333938402356,0.34696035367350136
DES:Time,0.06250000000014706,1.0,1.5880217785882214,0.2479917439998657
Power:Time,0.009999999993407446,1.0,0.25408348440601164,0.6296888126407285
I(DES ** 2),222.69160526308318,1.0,5658.225905051446,1.9307394968263094e-11
I(Power ** 2),2.6315789317554745e-05,1.0,0.0006686407449106859,0.9800922493387556
I(Time ** 2),0.06318421054353728,1.0,1.605406438492874,0.2456632742005366
Residual,0.2754999999999839,7.0,,
