,sum_sq,df,F,PR(>F)
DES,0.8201308900518461,1.0,127.57591623028607,9.536127329188617e-06
Power,0.5328530259369485,1.0,82.88824847908016,3.9574671898073126e-05
Time,1.2553314121087455,1.0,195.27377521691432,2.2746678731355115e-06
DES:Power,0.062499999999779454,1.0,9.722222222187831,0.01688979250032471
DES:Time,0.9025000000004562,1.0,140.38888888895863,6.9236344222557826e-06
Power:Time,0.12250000000119146,1.0,19.05555555574073,0.0032929842402378957
I(DES ** 2),0.8059210526319777,1.0,125.36549707608434,1.0108796007765584e-05
I(Power ** 2),0.34802631578642884,1.0,54.13742690011068,0.00015489342627273995
I(Time ** 2),1.216447368423943,1.0,189.2251461992784,2.530759356029098e-06
Residual,0.04500000000000039,7.0,,
