,sum_sq,df,F,PR(>F)
DES,5834.4251570671795,1.0,1878.005062742821,9.095143193008817e-10
Power,15.928533141340804,1.0,5.127131649854224,0.057961188868397955
Time,12.3603487044478,1.0,3.978592032516213,0.08629867856855476
DES:Power,3.999999999793157,1.0,1.2875339126569476,0.29385939997183824
DES:Time,0.15999999999928952,1.0,0.05150135650871238,0.8269562041331711
Power:Time,28.089999998240508,1.0,9.041706901534617,0.01974728152864484
I(DES ** 2),5804.786947367021,1.0,1868.4650127174796,9.258170642952718e-10
I(Power ** 2),17.35115789529167,1.0,5.58505105380215,0.05009961087208618
I(Time ** 2),11.883789474863764,1.0,3.8251954901385026,0.09138198147999452
Residual,21.747000000001133,7.0,,
