,sum_sq,df,F,PR(>F)
DES,25.16702225122493,1.0,21.469643014877224,0.0023877169532294552
Power,2.8559661383316395,1.0,2.4363857130365654,0.16251709098045197
Time,52.741452449785,1.0,44.99301287532705,0.00027548662740222444
DES:Power,3.06249999998645,1.0,2.612576930096303,0.15005303024122438
DES:Time,9.609999999986046,1.0,8.198159770873502,0.024224957140207275
Power:Time,3.9999999999449507,1.0,3.4123453780531032,0.10719823291233088
I(DES ** 2),22.322131578811103,1.0,19.042705630574392,0.0032988948658432327
I(Power ** 2),0.3852894736992837,1.0,0.3286851887020893,0.584373774228766
I(Time ** 2),45.22950000022403,1.0,38.58466881988534,0.00044023137514904233
Residual,8.205499999999976,7.0,,
